주요국 통화의 대원화 환율,,,
주석,"1) 원/달러, 원/위안은 서울외국환시장 은행간 거래의 종가 기준
2) 원/엔(하나은행 고시)은 15:30분 기준(단, 2016.7.29일 이전은 15시 기준)",,
출처,ECOS,,
범례명,원/달러(좌축),원/100엔(좌축),원/위안(우축)
단위,(원),(원),(원)
주기,일,일,일
기간,1990-03-02 ~ 2026-06-16,2005-03-02 ~ 2026-06-16,2014-12-01 ~ 2026-06-16
1990-03-02,693,,
1990-03-05,695.1,,
1990-03-06,696.4,,
1990-03-07,697.6,,
1990-03-08,698.1,,
1990-03-09,698.6,,
1990-03-12,698.8,,
1990-03-13,698.6,,
1990-03-14,697.9,,
1990-03-15,696.5,,
1990-03-16,696.4,,
1990-03-19,697,,
1990-03-20,697.6,,
1990-03-21,697.7,,
1990-03-22,698.5,,
1990-03-23,699.9,,
1990-03-26,701,,
1990-03-27,700.9,,
1990-03-28,700.3,,
1990-03-29,701.8,,
1990-03-30,702.3,,
1990-04-02,704.4,,
1990-04-03,705.8,,
1990-04-04,706.3,,
1990-04-06,706.7,,
1990-04-09,707,,
1990-04-10,707,,
1990-04-11,705.6,,
1990-04-12,706.4,,
1990-04-13,706.3,,
1990-04-16,707,,
1990-04-17,707.4,,
1990-04-18,706.7,,
1990-04-19,705.4,,
1990-04-20,705,,
1990-04-23,705.3,,
1990-04-24,705.7,,
1990-04-25,706.2,,
1990-04-26,706.7,,
1990-04-27,706.6,,
1990-04-30,706.1,,
1990-05-01,705.5,,
1990-05-03,705.5,,
1990-05-04,706,,
1990-05-07,707.7,,
1990-05-08,707.7,,
1990-05-09,707.3,,
1990-05-10,707.4,,
1990-05-11,707.8,,
1990-05-14,708.1,,
1990-05-15,708.5,,
1990-05-16,709,,
1990-05-17,709.3,,
1990-05-18,711,,
1990-05-21,711.7,,
1990-05-22,712.1,,
1990-05-23,711.4,,
1990-05-24,711.6,,
1990-05-25,712,,
1990-05-28,712.3,,
1990-05-29,712.5,,
1990-05-30,711.6,,
1990-05-31,711.2,,
1990-06-01,711.7,,
1990-06-04,713.8,,
1990-06-05,713.8,,
1990-06-07,714.7,,
1990-06-08,715.1,,
1990-06-11,716.3,,
1990-06-12,716.3,,
1990-06-13,716.1,,
1990-06-14,715.8,,
1990-06-15,716.1,,
1990-06-18,716.6,,
1990-06-19,716.4,,
1990-06-20,715.8,,
1990-06-21,716.3,,
1990-06-22,716.9,,
1990-06-25,716.7,,
1990-06-26,716.7,,
1990-06-27,716.5,,
1990-06-28,716.1,,
1990-06-29,715.8,,
1990-07-02,715.7,,
1990-07-03,715.6,,
1990-07-04,715.8,,
1990-07-05,716.2,,
1990-07-06,717.2,,
1990-07-09,717.4,,
1990-07-10,717.2,,
1990-07-11,716.3,,
1990-07-12,716.1,,
1990-07-13,715.9,,
1990-07-16,715.7,,
1990-07-18,715.6,,
1990-07-19,715.4,,
1990-07-20,715.5,,
1990-07-23,715.8,,
1990-07-24,715.5,,
1990-07-25,715.3,,
1990-07-26,715.3,,
1990-07-27,715.3,,
1990-07-30,715.3,,
1990-07-31,714.1,,
1990-08-01,713.2,,
1990-08-02,713.7,,
1990-08-03,714.4,,
1990-08-06,715.2,,
1990-08-07,715.5,,
1990-08-08,715,,
1990-08-09,715.7,,
1990-08-10,716.4,,
1990-08-13,717,,
1990-08-14,717.8,,
1990-08-16,717.8,,
1990-08-17,716.9,,
1990-08-20,716.5,,
1990-08-21,715.8,,
1990-08-22,715.6,,
1990-08-23,715.8,,
1990-08-24,715.3,,
1990-08-27,715.3,,
1990-08-28,714.7,,
1990-08-29,714.2,,
1990-08-30,713.9,,
1990-08-31,713.6,,
1990-09-03,713.6,,
1990-09-04,714.4,,
1990-09-05,715.1,,
1990-09-06,716.3,,
1990-09-07,716.1,,
1990-09-10,715.3,,
1990-09-11,715.2,,
1990-09-12,716,,
1990-09-13,716.1,,
1990-09-14,716.5,,
1990-09-17,715.8,,
1990-09-18,715.4,,
1990-09-19,715,,
1990-09-20,715.5,,
1990-09-21,714.5,,
1990-09-24,714.1,,
1990-09-25,714.1,,
1990-09-26,713.3,,
1990-09-27,712.9,,
1990-09-28,713.6,,
1990-10-05,713.7,,
1990-10-08,713.8,,
1990-10-10,714.1,,
1990-10-11,714.7,,
1990-10-12,715.4,,
1990-10-15,716,,
1990-10-16,715,,
1990-10-17,715.2,,
1990-10-18,715.6,,
1990-10-19,716,,
1990-10-22,716.4,,
1990-10-23,717.1,,
1990-10-24,715.6,,
1990-10-25,716.3,,
1990-10-26,714.6,,
1990-10-29,714.2,,
1990-10-30,714.3,,
1990-10-31,713.4,,
1990-11-01,714.1,,
1990-11-02,714.3,,
1990-11-05,715.8,,
1990-11-06,715.1,,
1990-11-07,715.5,,
1990-11-08,715.2,,
1990-11-09,714.7,,
1990-11-12,715.5,,
1990-11-13,714,,
1990-11-14,713.6,,
1990-11-15,713.9,,
1990-11-16,713.9,,
1990-11-19,714.4,,
1990-11-20,714.4,,
1990-11-21,714.8,,
1990-11-22,714.4,,
1990-11-23,713.2,,
1990-11-26,713.4,,
1990-11-27,712.8,,
1990-11-28,713.1,,
1990-11-29,713.3,,
1990-11-30,712.1,,
1990-12-03,712.6,,
1990-12-04,713.9,,
1990-12-05,714,,
1990-12-06,714.1,,
1990-12-07,715.2,,
1990-12-10,715.5,,
1990-12-11,715.3,,
1990-12-12,716,,
1990-12-13,716.7,,
1990-12-14,716.9,,
1990-12-17,717.5,,
1990-12-18,717.5,,
1990-12-19,717.5,,
1990-12-20,716.8,,
1990-12-21,716.7,,
1990-12-24,717.4,,
1990-12-26,717.7,,
1990-12-27,716.7,,
1990-12-28,716.3,,
1990-12-31,716.7,,
1991-01-03,716,,
1991-01-04,717,,
1991-01-07,717.1,,
1991-01-08,717.5,,
1991-01-09,717.4,,
1991-01-10,717.6,,
1991-01-11,718,,
1991-01-14,718.4,,
1991-01-15,718.5,,
1991-01-16,718.3,,
1991-01-17,718.7,,
1991-01-18,718.8,,
1991-01-21,719.3,,
1991-01-22,719.5,,
1991-01-23,719.1,,
1991-01-24,718.4,,
1991-01-25,718.7,,
1991-01-28,718.9,,
1991-01-29,719.2,,
1991-01-30,718.8,,
1991-01-31,719,,
1991-02-01,719.9,,
1991-02-04,720.1,,
1991-02-05,720.3,,
1991-02-06,720.7,,
1991-02-07,720.7,,
1991-02-08,722.1,,
1991-02-11,721.8,,
1991-02-12,721.3,,
1991-02-13,721.3,,
1991-02-18,722.4,,
1991-02-19,722.1,,
1991-02-20,721,,
1991-02-21,722.4,,
1991-02-22,723.3,,
1991-02-25,724,,
1991-02-26,726,,
1991-02-27,724.3,,
1991-02-28,724.1,,
1991-03-04,724.9,,
1991-03-05,725.1,,
1991-03-06,724.8,,
1991-03-07,724.8,,
1991-03-08,724.5,,
1991-03-11,725.2,,
1991-03-12,725.3,,
1991-03-13,725.1,,
1991-03-14,724.9,,
1991-03-15,725.4,,
1991-03-18,726,,
1991-03-19,725.9,,
1991-03-20,725.3,,
1991-03-21,725.3,,
1991-03-22,725.6,,
1991-03-25,725.9,,
1991-03-27,725.6,,
1991-03-28,725,,
1991-03-29,725,,
1991-04-01,725.4,,
1991-04-02,725.2,,
1991-04-03,725.3,,
1991-04-04,725.7,,
1991-04-08,726.1,,
1991-04-09,725.9,,
1991-04-10,726,,
1991-04-11,725.9,,
1991-04-12,725.7,,
1991-04-15,726.4,,
1991-04-16,725.3,,
1991-04-17,724.9,,
1991-04-18,724.9,,
1991-04-19,725.4,,
1991-04-22,726.2,,
1991-04-23,725.2,,
1991-04-24,724.7,,
1991-04-25,724.9,,
1991-04-26,724.7,,
1991-04-29,726,,
1991-04-30,724.4,,
1991-05-01,723.9,,
1991-05-02,723.3,,
1991-05-03,722.8,,
1991-05-06,724,,
1991-05-07,724.6,,
1991-05-08,725,,
1991-05-09,726.5,,
1991-05-10,726.6,,
1991-05-13,728.1,,
1991-05-14,727.1,,
1991-05-15,726,,
1991-05-16,725.5,,
1991-05-17,724.6,,
1991-05-20,726.1,,
1991-05-22,726.9,,
1991-05-23,725.8,,
1991-05-24,725,,
1991-05-27,725.1,,
1991-05-28,724.4,,
1991-05-29,723.3,,
1991-05-30,723,,
1991-05-31,722.5,,
1991-06-03,725,,
1991-06-04,726,,
1991-06-05,726.1,,
1991-06-07,725.9,,
1991-06-10,726.9,,
1991-06-11,725.6,,
1991-06-12,724.6,,
1991-06-13,723.4,,
1991-06-14,724.6,,
1991-06-17,725.8,,
1991-06-18,724.8,,
1991-06-19,725.6,,
1991-06-21,727.5,,
1991-06-24,729.3,,
1991-06-25,729.5,,
1991-06-26,726.3,,
1991-06-27,724.5,,
1991-06-28,725.2,,
1991-07-01,725.9,,
1991-07-02,728,,
1991-07-03,728.9,,
1991-07-04,729,,
1991-07-05,729.8,,
1991-07-08,730.5,,
1991-07-09,731.3,,
1991-07-10,732,,
1991-07-11,731.5,,
1991-07-12,731.6,,
1991-07-15,731.6,,
1991-07-16,731.4,,
1991-07-18,731.4,,
1991-07-19,730.9,,
1991-07-22,730.8,,
1991-07-23,729,,
1991-07-24,726.9,,
1991-07-25,725.7,,
1991-07-26,725.3,,
1991-07-29,726.8,,
1991-07-30,726.5,,
1991-07-31,726.1,,
1991-08-01,726.6,,
1991-08-02,726.6,,
1991-08-05,728,,
1991-08-06,727.6,,
1991-08-07,728.4,,
1991-08-08,729.2,,
1991-08-09,730,,
1991-08-12,732.8,,
1991-08-13,733.7,,
1991-08-14,733.9,,
1991-08-16,733.9,,
1991-08-19,734.2,,
1991-08-20,732.7,,
1991-08-21,730.7,,
1991-08-22,731.1,,
1991-08-23,732.5,,
1991-08-26,733.4,,
1991-08-27,733.2,,
1991-08-28,733.9,,
1991-08-29,733.9,,
1991-08-30,736.5,,
1991-09-02,738.6,,
1991-09-03,740.2,,
1991-09-04,738.5,,
1991-09-05,739.1,,
1991-09-06,740.3,,
1991-09-09,741,,
1991-09-10,739.6,,
1991-09-11,739.4,,
1991-09-12,740.4,,
1991-09-13,740.6,,
1991-09-16,739.2,,
1991-09-17,736.7,,
1991-09-18,736.6,,
1991-09-19,738.7,,
1991-09-20,741.1,,
1991-09-24,740.8,,
1991-09-25,741.2,,
1991-09-26,742,,
1991-09-27,740.1,,
1991-09-30,742,,
1991-10-01,743.1,,
1991-10-02,745.3,,
1991-10-04,748.8,,
1991-10-07,751.4,,
1991-10-08,750.4,,
1991-10-09,750.7,,
1991-10-10,750.5,,
1991-10-11,750.4,,
1991-10-14,751.3,,
1991-10-15,749.3,,
1991-10-16,749.7,,
1991-10-17,749.7,,
1991-10-18,749.1,,
1991-10-21,748.8,,
1991-10-22,749.5,,
1991-10-23,750,,
1991-10-24,750.6,,
1991-10-25,750,,
1991-10-28,750.5,,
1991-10-29,749.8,,
1991-10-30,751,,
1991-10-31,752,,
1991-11-01,752.6,,
1991-11-04,752.4,,
1991-11-05,750.7,,
1991-11-06,751.9,,
1991-11-07,751.3,,
1991-11-08,751.9,,
1991-11-11,752.1,,
1991-11-12,751.3,,
1991-11-13,751.7,,
1991-11-14,752.1,,
1991-11-15,752.6,,
1991-11-18,752.8,,
1991-11-19,753.3,,
1991-11-20,754.6,,
1991-11-21,754.9,,
1991-11-22,754.8,,
1991-11-25,754.4,,
1991-11-26,754.3,,
1991-11-27,754.7,,
1991-11-28,754.4,,
1991-11-29,754.1,,
1991-12-02,753.9,,
1991-12-03,754,,
1991-12-04,754.6,,
1991-12-05,754.9,,
1991-12-06,755,,
1991-12-09,756,,
1991-12-10,756.9,,
1991-12-11,756.4,,
1991-12-12,756.9,,
1991-12-13,757.1,,
1991-12-16,758,,
1991-12-17,758,,
1991-12-18,758.1,,
1991-12-19,758.2,,
1991-12-20,758.8,,
1991-12-23,758.9,,
1991-12-24,758.6,,
1991-12-26,759.6,,
1991-12-27,760.4,,
1991-12-30,760.6,,
1991-12-31,759.5,,
1992-01-03,758.2,,
1992-01-06,760.6,,
1992-01-07,761.2,,
1992-01-08,761.7,,
1992-01-09,762.4,,
1992-01-10,762.1,,
1992-01-13,762.9,,
1992-01-14,762.8,,
1992-01-15,763.3,,
1992-01-16,763.4,,
1992-01-17,763.6,,
1992-01-20,764,,
1992-01-21,764.3,,
1992-01-22,764.7,,
1992-01-23,764.5,,
1992-01-24,764.3,,
1992-01-27,764.2,,
1992-01-28,763.3,,
1992-01-29,762,,
1992-01-30,762.3,,
1992-01-31,762,,
1992-02-06,763.9,,
1992-02-07,764.2,,
1992-02-10,765.1,,
1992-02-11,764.3,,
1992-02-12,764.3,,
1992-02-13,764.7,,
1992-02-14,765.6,,
1992-02-17,766,,
1992-02-18,766.3,,
1992-02-19,766.8,,
1992-02-20,767.6,,
1992-02-21,767.9,,
1992-02-24,767.8,,
1992-02-25,767.6,,
1992-02-26,767.4,,
1992-02-27,767.8,,
1992-02-28,768.2,,
1992-03-02,768.1,,
1992-03-03,768.1,,
1992-03-04,768.3,,
1992-03-05,768,,
1992-03-06,768.2,,
1992-03-09,769.1,,
1992-03-11,769.7,,
1992-03-12,770.1,,
1992-03-13,770.9,,
1992-03-16,771.2,,
1992-03-17,771.8,,
1992-03-18,773.3,,
1992-03-19,773.8,,
1992-03-20,772.8,,
1992-03-23,773.7,,
1992-03-25,774,,
1992-03-26,774.1,,
1992-03-27,774.7,,
1992-03-30,775,,
1992-03-31,774.8,,
1992-04-01,774.8,,
1992-04-02,775.2,,
1992-04-03,776,,
1992-04-06,777,,
1992-04-07,777.6,,
1992-04-08,778.8,,
1992-04-09,779.5,,
1992-04-10,779.6,,
1992-04-13,780.3,,
1992-04-14,780.5,,
1992-04-15,779.8,,
1992-04-16,778.7,,
1992-04-17,776.6,,
1992-04-20,778.8,,
1992-04-21,779.8,,
1992-04-22,779.8,,
1992-04-23,778.8,,
1992-04-24,778.7,,
1992-04-27,779.1,,
1992-04-28,779.1,,
1992-04-29,778.7,,
1992-04-30,778,,
1992-05-01,778.8,,
1992-05-04,781.5,,
1992-05-06,782.4,,
1992-05-07,782.7,,
1992-05-08,782.7,,
1992-05-11,782.5,,
1992-05-12,782,,
1992-05-13,782.8,,
1992-05-14,783,,
1992-05-15,784,,
1992-05-18,783.6,,
1992-05-19,782.5,,
1992-05-20,784.1,,
1992-05-21,784.5,,
1992-05-22,785.3,,
1992-05-25,785.3,,
1992-05-26,784,,
1992-05-27,783.6,,
1992-05-28,783.4,,
1992-05-29,784.4,,
1992-06-01,786,,
1992-06-02,786.2,,
1992-06-03,786.7,,
1992-06-04,787.4,,
1992-06-05,787.6,,
1992-06-08,786.8,,
1992-06-09,788.4,,
1992-06-10,788.9,,
1992-06-11,789.1,,
1992-06-12,788.8,,
1992-06-15,790,,
1992-06-16,790.6,,
1992-06-17,790.9,,
1992-06-18,791.3,,
1992-06-19,791,,
1992-06-22,791.4,,
1992-06-23,790.8,,
1992-06-24,790.6,,
1992-06-25,790.2,,
1992-06-26,790.3,,
1992-06-29,790.3,,
1992-06-30,789.6,,
1992-07-01,787.4,,
1992-07-02,786,,
1992-07-03,785.9,,
1992-07-06,786.9,,
1992-07-07,786.2,,
1992-07-08,786.4,,
1992-07-09,786.6,,
1992-07-10,786.3,,
1992-07-13,787.5,,
1992-07-14,787.6,,
1992-07-15,787.4,,
1992-07-16,786,,
1992-07-20,786.3,,
1992-07-21,787.1,,
1992-07-22,786.5,,
1992-07-23,787.2,,
1992-07-24,787.3,,
1992-07-27,789.2,,
1992-07-28,787.5,,
1992-07-29,787.9,,
1992-07-30,787.6,,
1992-07-31,787.2,,
1992-08-03,789.1,,
1992-08-04,789.3,,
1992-08-05,789.1,,
1992-08-06,788.4,,
1992-08-07,789.5,,
1992-08-10,790.3,,
1992-08-11,789.8,,
1992-08-12,789.4,,
1992-08-13,790.3,,
1992-08-14,790.2,,
1992-08-17,791.6,,
1992-08-18,791,,
1992-08-19,790.5,,
1992-08-20,790.8,,
1992-08-21,790.1,,
1992-08-24,789.4,,
1992-08-25,787.9,,
1992-08-26,786.5,,
1992-08-27,787.4,,
1992-08-28,787.6,,
1992-08-31,785.6,,
1992-09-01,785.2,,
1992-09-02,785.6,,
1992-09-03,785.4,,
1992-09-04,785.1,,
1992-09-07,784.8,,
1992-09-08,784.3,,
1992-09-09,784.2,,
1992-09-14,786,,
1992-09-15,785.5,,
1992-09-16,784.5,,
1992-09-17,784.8,,
1992-09-18,785.4,,
1992-09-21,786.4,,
1992-09-22,786.5,,
1992-09-23,786.7,,
1992-09-24,786.2,,
1992-09-25,787,,
1992-09-28,788.1,,
1992-09-29,786.5,,
1992-09-30,785.1,,
1992-10-01,784.8,,
1992-10-02,785.9,,
1992-10-05,785.7,,
1992-10-06,784.5,,
1992-10-07,784.1,,
1992-10-08,784.4,,
1992-10-09,784.5,,
1992-10-12,784.6,,
1992-10-13,783.5,,
1992-10-14,783.3,,
1992-10-15,783.1,,
1992-10-16,782.7,,
1992-10-19,782,,
1992-10-20,782.3,,
1992-10-21,782.8,,
1992-10-22,782.7,,
1992-10-23,782.5,,
1992-10-26,783.8,,
1992-10-27,782.8,,
1992-10-28,782.4,,
1992-10-29,782.4,,
1992-10-30,782.3,,
1992-11-02,782.1,,
1992-11-03,782,,
1992-11-04,782.1,,
1992-11-05,782,,
1992-11-06,782,,
1992-11-09,782.8,,
1992-11-10,782.4,,
1992-11-11,782.1,,
1992-11-12,782,,
1992-11-13,783,,
1992-11-16,785.2,,
1992-11-17,785.9,,
1992-11-18,785.5,,
1992-11-19,786.7,,
1992-11-20,787.7,,
1992-11-23,787.6,,
1992-11-24,786.3,,
1992-11-25,785.7,,
1992-11-26,785.1,,
1992-11-27,785,,
1992-11-30,785,,
1992-12-01,785.5,,
1992-12-02,785.6,,
1992-12-03,785.4,,
1992-12-04,786.5,,
1992-12-07,789.4,,
1992-12-08,789.2,,
1992-12-09,788,,
1992-12-10,789.3,,
1992-12-11,790.2,,
1992-12-14,791.1,,
1992-12-15,789,,
1992-12-16,788.8,,
1992-12-17,789.4,,
1992-12-21,791,,
1992-12-22,789.8,,
1992-12-23,789.7,,
1992-12-24,788.9,,
1992-12-28,789.5,,
1992-12-29,789,,
1992-12-30,788.3,,
1992-12-31,786.9,,
1993-01-04,789.3,,
1993-01-05,790.3,,
1993-01-06,791.5,,
1993-01-07,791.9,,
1993-01-08,792.3,,
1993-01-11,790.6,,
1993-01-12,791.5,,
1993-01-13,792.9,,
1993-01-14,792.5,,
1993-01-15,792.8,,
1993-01-18,791.5,,
1993-01-19,791,,
1993-01-20,791.8,,
1993-01-21,793.9,,
1993-01-25,794.8,,
1993-01-26,794.1,,
1993-01-27,791.9,,
1993-01-28,793.7,,
1993-01-29,794.4,,
1993-02-01,796,,
1993-02-02,795.8,,
1993-02-03,796,,
1993-02-04,796.7,,
1993-02-05,797.7,,
1993-02-08,797.6,,
1993-02-09,796.5,,
1993-02-10,797.5,,
1993-02-11,796.3,,
1993-02-12,797,,
1993-02-15,797.4,,
1993-02-16,796.3,,
1993-02-17,796.3,,
1993-02-18,797.1,,
1993-02-19,796.3,,
1993-02-22,796.2,,
1993-02-23,795.2,,
1993-02-24,795.4,,
1993-02-25,795.5,,
1993-02-26,794,,
1993-03-02,794.9,,
1993-03-03,793.5,,
1993-03-04,793.2,,
1993-03-05,792.6,,
1993-03-08,792.7,,
1993-03-09,791.8,,
1993-03-11,794.1,,
1993-03-12,792.5,,
1993-03-15,792.2,,
1993-03-16,792.4,,
1993-03-17,792.6,,
1993-03-18,792.7,,
1993-03-19,792.6,,
1993-03-22,793.2,,
1993-03-23,793,,
1993-03-24,793.1,,
1993-03-25,793.1,,
1993-03-26,793.3,,
1993-03-29,794.1,,
1993-03-30,793.8,,
1993-03-31,794.8,,
1993-04-01,795.5,,
1993-04-02,795.8,,
1993-04-06,796.2,,
1993-04-07,796.2,,
1993-04-08,795.6,,
1993-04-09,795.4,,
1993-04-12,795.7,,
1993-04-13,795.6,,
1993-04-14,795.8,,
1993-04-15,795.6,,
1993-04-16,795.6,,
1993-04-19,796,,
1993-04-20,795.6,,
1993-04-21,795.7,,
1993-04-22,796.1,,
1993-04-23,795.8,,
1993-04-26,796.1,,
1993-04-27,795.9,,
1993-04-28,795.8,,
1993-04-29,795.8,,
1993-04-30,796,,
1993-05-03,796.7,,
1993-05-04,796.7,,
1993-05-06,797.7,,
1993-05-07,798.8,,
1993-05-10,800,,
1993-05-11,799.5,,
1993-05-12,799.5,,
1993-05-13,801,,
1993-05-14,802,,
1993-05-17,801.3,,
1993-05-18,801.3,,
1993-05-19,802.5,,
1993-05-20,802.4,,
1993-05-21,801.1,,
1993-05-24,801.3,,
1993-05-25,801.5,,
1993-05-26,800.5,,
1993-05-27,801.9,,
1993-05-31,802.6,,
1993-06-01,803,,
1993-06-02,803.4,,
1993-06-03,803.7,,
1993-06-04,802.7,,
1993-06-07,803.2,,
1993-06-08,802.2,,
1993-06-09,801.5,,
1993-06-10,801.1,,
1993-06-11,801,,
1993-06-14,801.3,,
1993-06-15,801.9,,
1993-06-16,801.8,,
1993-06-17,801.9,,
1993-06-18,802.1,,
1993-06-21,804,,
1993-06-22,803.6,,
1993-06-23,803,,
1993-06-24,802.4,,
1993-06-25,803.5,,
1993-06-28,803.7,,
1993-06-29,803.3,,
1993-06-30,803,,
1993-07-01,803,,
1993-07-02,803.4,,
1993-07-05,804.5,,
1993-07-06,803.8,,
1993-07-07,804.5,,
1993-07-08,804.5,,
1993-07-09,805.2,,
1993-07-12,806.5,,
1993-07-13,805.7,,
1993-07-14,807.5,,
1993-07-15,807.5,,
1993-07-16,807.7,,
1993-07-19,808.6,,
1993-07-20,808.9,,
1993-07-21,807.9,,
1993-07-22,808.8,,
1993-07-23,808.7,,
1993-07-26,808.3,,
1993-07-27,807,,
1993-07-28,806.6,,
1993-07-29,806.4,,
1993-07-30,806.3,,
1993-08-02,806.1,,
1993-08-03,806.2,,
1993-08-04,805.9,,
